City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,arvayheer,46.2639,102.775,12.11,57,13,2.62,MN,1722721856
212,sinabang,2.4803,96.3801,25.55,87,100,4.92,ID,1722721857
213,aasiaat,68.7098,-52.8699,5.21,79,7,2.96,GL,1722721858
214,los andes,-32.8337,-70.5983,9.91,68,100,1.59,CL,1722721859
215,kourou,5.1552,-52.6478,27.03,87,82,2.67,GF,1722721860
216,dakhla,23.6848,-15.958,23.01,88,44,2.06,EH,1722721862
217,hithadhoo,-0.6,73.0833,27.68,79,88,3.24,MV,1722721863
218,naracoorte,-36.9579,140.7383,4.11,88,97,2.06,AU,1722721864
219,makinsk,52.6292,70.4169,17.15,60,50,3.69,KZ,1722721865
220,gurupa,-1.405,-51.64,27.87,52,15,1.68,BR,1722721866
221,chinsali,-10.5414,32.0816,13.57,50,8,2.34,ZM,1722721867
222,tileagd,47.0667,22.2,16.97,86,85,2.51,RO,1722721868
223,al jawf,29.5,38.75,27.75,18,18,3.8,SA,1722721869
224,hancheng,32.5186,112.3522,25.92,89,60,2.82,CN,1722721871
225,kuanda,56.3161,116.0806,16.66,79,100,2.04,RU,1722721872
226,zheleznogorsk-ilimskiy,56.5768,104.1217,11.8,99,13,0.53,RU,1722721874
227,lincoln city,44.9582,-124.0179,24.42,78,100,5.36,US,1722721875
228,ingeniero guillermo n. juarez,-23.9,-61.85,31.53,30,0,4.13,AR,1722721876
229,copala,16.65,-98.9833,28.97,69,100,3.02,MX,1722721878
230,lichinga,-13.3128,35.2406,15.05,67,0,2.24,MZ,1722721879
231,cabedelo,-6.9811,-34.8339,25.37,78,2,6.24,BR,1722721880
232,tongliao,43.6125,122.2653,24.9,91,100,5.64,CN,1722721881
233,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.03,GF,1722721806
234,giyani,-23.3025,30.7187,18.9,45,0,0.63,ZA,1722721884
235,nuuk,64.1835,-51.7216,3.34,93,40,3.09,GL,1722721885
236,kristiansund,63.1115,7.732,18.03,84,75,2.57,NO,1722721886
237,aguazul,5.1728,-72.5471,26.43,85,39,1.07,CO,1722721887
238,punta arenas,-53.15,-70.9167,0.62,80,100,4.19,CL,1722721888
239,maitum,6.0392,124.4986,25.65,83,99,1.57,PH,1722721889
240,tongchuanshi,35.0806,109.0897,22.99,79,98,0.25,CN,1722721891
241,taoudenni,22.6783,-3.9836,37.09,27,100,6.61,ML,1722721892
242,guerrero negro,27.9769,-114.0611,25.89,55,77,7.44,MX,1722721804
243,margate,51.3813,1.3862,17.71,81,87,4.4,GB,1722721823
244,saint-philippe,-21.3585,55.7679,17.77,75,5,2.17,RE,1722721895
245,enewetak,11.3474,162.3373,28.27,76,96,0.72,MH,1722721896
246,mcminnville,45.2101,-123.1987,30.64,33,100,2.94,US,1722721825
247,santa cruz,-17.8,-63.1667,30.7,54,20,12.35,BO,1722721621
248,griffith,41.5284,-87.4237,32.27,55,0,3.09,US,1722721900
249,dryden,49.7833,-92.7503,21.16,68,75,1.03,CA,1722721901
250,waynesboro,38.0685,-78.8895,28.41,88,75,0.0,US,1722721869
251,akureyri,65.6835,-18.0878,12.96,76,75,3.09,IS,1722721903
252,las navas del marques,40.6024,-4.3345,25.42,32,1,2.13,ES,1722721904
253,lihue,21.9789,-159.3672,27.77,70,100,4.63,US,1722721906
254,hermanus,-34.4187,19.2345,9.89,79,84,8.24,ZA,1722721907
255,dourados,-22.2211,-54.8056,27.7,27,25,2.98,BR,1722721908
256,okha,53.5739,142.9478,14.88,60,32,2.04,RU,1722721909
257,ghanzi,-21.5667,21.7833,17.09,25,0,2.87,BW,1722721910
258,keflavik,64.0049,-22.5624,13.95,82,75,3.6,IS,1722721911
259,talara,-4.5772,-81.2719,24.42,69,0,6.14,PE,1722721913
260,motueka,-41.1333,173.0167,5.21,66,61,0.94,NZ,1722721914
261,pechora,65.1472,57.2244,16.12,89,87,5.96,RU,1722721915
262,meadow lake,34.8014,-106.5436,35.9,26,9,5.22,US,1722721916
263,ailuk,10.2197,169.9797,28.13,76,2,2.52,MH,1722721917
264,bile,48.4952,39.0505,20.66,36,33,1.27,UA,1722721918
265,ilulissat,69.2167,-51.1,9.33,57,4,1.97,GL,1722721919
266,fada,7.25,4.0667,24.37,94,75,3.09,NG,1722721921
267,fort bragg,35.139,-79.006,30.91,62,75,8.75,US,1722721922
268,itoman,26.1247,127.6694,29.01,87,20,5.14,JP,1722721923
